Área de Conhecimento;Disciplina;Tópico;Subtópico
Linguagem, Códigos e suas Tecnologias;;Estudo do texto: sequências discursivas e gêneros textuais no sistema de comunicação e informação;Modos de organização da composição textual
Linguagem, Códigos e suas Tecnologias;;Estudo do texto: sequências discursivas e gêneros textuais no sistema de comunicação e informação;Atividades de produção escrita e de leitura de textos gerados nas diferentes esferas sociais — públicas e privadas
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;Performance corporal e identidades juvenis
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;Possibilidades de vivência crítica e emancipada do lazer
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;Mitos e verdades sobre os corpos masculino e feminino na sociedade atual
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;Exercício físico e saúde
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;Corpo e expressão artística e cultural
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;O corpo no mundo dos símbolos e como produção da cultura
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;Práticas corporais e autonomia
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;Condicionamentos e esforços físicos
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;O esporte
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;A dança
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;As lutas
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;Os jogos
Linguagem, Códigos e suas Tecnologias;;Estudo das práticas corporais: a linguagem corporal como integradora social e formadora de identidade;As brincadeiras
Linguagem, Códigos e suas Tecnologias;;Produção e recepção de textos artísticos: interpretação e representação do mundo para o fortalecimento dos processos de identidade e cidadania;Artes Visuais: estrutura morfológica, sintática, o contexto da obra artística, o contexto da comunidade
Linguagem, Códigos e suas Tecnologias;;Produção e recepção de textos artísticos: interpretação e representação do mundo para o fortalecimento dos processos de identidade e cidadania;Teatro: estrutura morfológica, sintática, o contexto da obra artística, o contexto da comunidade, as fontes de criação
Linguagem, Códigos e suas Tecnologias;;Produção e recepção de textos artísticos: interpretação e representação do mundo para o fortalecimento dos processos de identidade e cidadania;Música: estrutura morfológica, sintática, o contexto da obra artística, o contexto da comunidade, as fontes de criação
Linguagem, Códigos e suas Tecnologias;;Produção e recepção de textos artísticos: interpretação e representação do mundo para o fortalecimento dos processos de identidade e cidadania;Dança: estrutura morfológica, sintática, o contexto da obra artística, o contexto da comunidade, as fontes de criação
Linguagem, Códigos e suas Tecnologias;;Produção e recepção de textos artísticos: interpretação e representação do mundo para o fortalecimento dos processos de identidade e cidadania;Conteúdos estruturantes das linguagens artísticas (Artes Visuais, Dança, Música, Teatro), elaborados a partir de suas estruturas morfológicas e sintáticas
Linguagem, Códigos e suas Tecnologias;;Produção e recepção de textos artísticos: interpretação e representação do mundo para o fortalecimento dos processos de identidade e cidadania;Inclusão, diversidade e multiculturalidade: a valorização da pluralidade expressada nas produções estéticas e artísticas das minorias sociais e das pessoas com deficiência
Linguagem, Códigos e suas Tecnologias;;Estudo do texto literário: relações entre produção literária e processo social, concepções artísticas, procedimentos de construção e recepção de textos;Produção literária e processo social
Linguagem, Códigos e suas Tecnologias;;Estudo do texto literário: relações entre produção literária e processo social, concepções artísticas, procedimentos de construção e recepção de textos;Processos de formação literária e de formação nacional
Linguagem, Códigos e suas Tecnologias;;Estudo do texto literário: relações entre produção literária e processo social, concepções artísticas, procedimentos de construção e recepção de textos;Produção de textos literários, sua recepção e a constituição do patrimônio literário nacional
Linguagem, Códigos e suas Tecnologias;;Estudo do texto literário: relações entre produção literária e processo social, concepções artísticas, procedimentos de construção e recepção de textos;Relações entre a dialética cosmopolitismo/localismo e a produção literária nacional
Linguagem, Códigos e suas Tecnologias;;Estudo do texto literário: relações entre produção literária e processo social, concepções artísticas, procedimentos de construção e recepção de textos;Elementos de continuidade e ruptura entre os diversos momentos da literatura brasileira
Linguagem, Códigos e suas Tecnologias;;Estudo do texto literário: relações entre produção literária e processo social, concepções artísticas, procedimentos de construção e recepção de textos;Associações entre concepções artísticas e procedimentos de construção do texto literário em seus gêneros (épico/narrativo, lírico e dramático) e formas diversas
Linguagem, Códigos e suas Tecnologias;;Estudo do texto literário: relações entre produção literária e processo social, concepções artísticas, procedimentos de construção e recepção de textos;Articulações entre os recursos expressivos e estruturais do texto literário e o processo social relacionado ao momento de sua produção
